Event Name                     	Time MSec	Process Name   	blockName     	dataId	elapsedMs	Rest  
Manisero.DataflowPoc/BlockExit 	7 148,387	Dataflow (6480)	ReportProgress	     7	     0   	      
Manisero.DataflowPoc/BlockEnter	7 148,394	Dataflow (6480)	DisposeData   	     7	         	      
Manisero.DataflowPoc/BlockExit 	7 165,483	Dataflow (6480)	DisposeData   	     7	    17   	      
Manisero.DataflowPoc/BlockExit 	7 270,916	Dataflow (6480)	ReadData      	    10	   144   	      
Manisero.DataflowPoc/BlockExit 	7 829,609	Dataflow (6480)	ComputeFields 	     8	   703   	      
Manisero.DataflowPoc/BlockEnter	7 829,708	Dataflow (6480)	WriteData     	     8	         	      
Manisero.DataflowPoc/BlockExit 	7 843,298	Dataflow (6480)	WriteData     	     8	    13   	      
Manisero.DataflowPoc/BlockEnter	7 843,393	Dataflow (6480)	ReportProgress	     8	         	      
Manisero.DataflowPoc/BlockExit 	7 843,407	Dataflow (6480)	ReportProgress	     8	     0   	      
Manisero.DataflowPoc/BlockEnter	7 843,417	Dataflow (6480)	DisposeData   	     8	         	      
Manisero.DataflowPoc/BlockExit 	7 853,051	Dataflow (6480)	DisposeData   	     8	     9   	      
Manisero.DataflowPoc/BlockExit 	7 855,866	Dataflow (6480)	Validate      	     9	   729   	      
Manisero.DataflowPoc/BlockEnter	7 855,923	Dataflow (6480)	ComputeFields 	     9	         	      
Manisero.DataflowPoc/BlockEnter	7 855,935	Dataflow (6480)	Validate      	    10	         	      
Manisero.DataflowPoc/BlockExit 	8 530,724	Dataflow (6480)	ComputeFields 	     9	   674   	      
Manisero.DataflowPoc/BlockEnter	8 530,819	Dataflow (6480)	WriteData     	     9	         	      
Manisero.DataflowPoc/BlockExit 	8 540,196	Dataflow (6480)	WriteData     	     9	     9   	      
Manisero.DataflowPoc/BlockEnter	8 540,280	Dataflow (6480)	ReportProgress	     9	         	      
Manisero.DataflowPoc/BlockExit 	8 540,292	Dataflow (6480)	ReportProgress	     9	     0   	      
Manisero.DataflowPoc/BlockEnter	8 540,303	Dataflow (6480)	DisposeData   	     9	         	      
Manisero.DataflowPoc/BlockExit 	8 550,577	Dataflow (6480)	DisposeData   	     9	    10   	      
Manisero.DataflowPoc/BlockExit 	8 565,145	Dataflow (6480)	Validate      	    10	   709   	      
Manisero.DataflowPoc/BlockEnter	8 565,209	Dataflow (6480)	ComputeFields 	    10	         	      
Manisero.DataflowPoc/BlockExit 	9 205,632	Dataflow (6480)	ComputeFields 	    10	   640   	      
Manisero.DataflowPoc/BlockEnter	9 205,758	Dataflow (6480)	WriteData     	    10	         	      
Manisero.DataflowPoc/BlockExit 	9 215,138	Dataflow (6480)	WriteData     	    10	     9   	      
Manisero.DataflowPoc/BlockEnter	9 215,210	Dataflow (6480)	ReportProgress	    10	         	      
Manisero.DataflowPoc/BlockExit 	9 215,341	Dataflow (6480)	ReportProgress	    10	     0   	      
Manisero.DataflowPoc/BlockEnter	9 215,394	Dataflow (6480)	DisposeData   	    10	         	      
Manisero.DataflowPoc/BlockExit 	9 232,257	Dataflow (6480)	DisposeData   	    10	    16   	      
